"Entry Id"	"Genes"	"Genes Relationship"	"Protein Interactions"	"Common Pathways"	"GENEmeta"	"Oligogenic variant combinations"
"88"	"PSMB4; PSMB9"	"Similar function;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(PSMB4, PSMB9)"	"M Phase;Metabolism of amino acids and derivatives;Regulation of RAS by GAPs;Apoptosis;Axon guidance;Synthesis of DNA;Defective CFTR causes cystic fibrosis;ABC transporter disorders;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1;RUNX1 regulates transcription of genes involved in differentiation of HSCs;Fc epsilon receptor (FCERI) signaling;S Phase;Signaling by WNT;Hedgehog on state;Signaling by the B Cell Receptor (BCR);Regulation of APC/C activators between G1/S and early anaphase;Transport of small molecules;Mitotic G1 phase and G1/S transition;Regulation of expression of SLITs and ROBOs;Mitotic Anaphase;Ubiquitin Mediated Degradation of Phosphorylated Cdc25A;Hh mutants abrogate ligand secretion;Transcriptional regulation by RUNX3;Cell Cycle;MAPK6/MAPK4 signaling;CLEC7A (Dectin-1) signaling;Regulation of RUNX2 expression and activity;p53-Independent G1/S DNA damage checkpoint;Cytokine Signaling in Immune system;Class I MHC mediated antigen processing & presentation;Stabilization of p53;Proteasome;PCP/CE pathway;FBXL7 down-regulates AURKA during mitotic entry and in early mitosis;HIV Infection;Disease;p53-Dependent G1/S DNA damage checkpoint;Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha;CDT1 association with the CDC6:ORC:origin complex;GLI3 is processed to GLI3R by the proteasome;Activation of NF-kappaB in B cells;APC/C:Cdc20 mediated degradation of Securin;Intracellular signaling by second messengers;Gene expression (Transcription);Autodegradation of Cdh1 by Cdh1:APC/C;Separation of Sister Chromatids;CDK-mediated phosphorylation and removal of Cdc6;DNA Replication Pre-Initiation;PIP3 activates AKT signaling;Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins;Cyclin E associated events during G1/S transition;Metabolism of polyamines;Orc1 removal from chromatin;SCF(Skp2)-mediated degradation of p27/p21;Hh mutants are degraded by ERAD;SCF-beta-TrCP mediated degradation of Emi1;Cellular responses to stress;Transcriptional regulation by RUNX1;Metabolism of proteins;Dectin-1 mediated noncanonical NF-kB signaling;Regulation of activated PAK-2p34 by proteasome mediated degradation;Degradation of GLI1 by the proteasome;G2/M Transition;MAPK1/MAPK3 signaling;Antigen processing: Ubiquitination & Proteasome degradation;Degradation of DVL;Cell Cycle Checkpoints;Hedgehog off state;Assembly of the pre-replicative complex;TCR signaling;ER-Phagosome pathway;AUF1 (hnRNP D0) binds and destabilizes mRNA;Generic Transcription Pathway;TNFR2 non-canonical NF-kB pathway;Switching of origins to a post-replicative state;Programmed Cell Death;Host Interactions of HIV factors;Infectious disease;Regulation of PTEN stability and activity;G2/M Checkpoints;UCH proteinases;Mitotic Metaphase and Anaphase;The role of GTSE1 in G2/M progression after G2 checkpoint;Regulation of mRNA stability by proteins that bind AU-rich elements;G1/S DNA Damage Checkpoints;Developmental Biology;Hedgehog ligand biogenesis;p53-Independent DNA Damage Response;Asymmetric localization of PCP proteins;Downstream signaling events of B Cell Receptor (BCR);APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint;Nervous system development;Cdc20:Phospho-APC/C mediated degradation of Cyclin A;Cross-presentation of soluble exogenous antigens (endosomes);Cellular responses to external stimuli;Interleukin-1 family signaling;ABC-family proteins mediated transport;Signaling by NOTCH4;DNA Replication;Signaling by Interleukins;APC/C-mediated degradation of cell cycle proteins;p53-Dependent G1 DNA Damage Response;Neddylation;Deubiquitination;TCF dependent signaling in response to WNT;Degradation of beta-catenin by the destruction complex;Ub-specific processing proteases;Disorders of transmembrane transporters;Regulation of Apoptosis;Adaptive Immune System;Signaling by Hedgehog;MAPK family signaling cascades;Mitotic;Antigen processing-Cross presentation;Ubiquitin-dependent degradation of Cyclin D;Signaling by NOTCH;Interleukin-1 signaling;Vpu mediated degradation of CD4;C-type lectin receptors (CLRs);RAF/MAP kinase cascade;RNA Polymerase II Transcription;PTEN Regulation;Metabolism of RNA;Immune System;Signaling by ROBO receptors;APC/C:Cdc20 mediated degradation of mitotic proteins;Degradation of AXIN;Mitotic G2-G2/M phases;Innate Immune System;Vif-mediated degradation of APOBEC3G;NIK-->noncanonical NF-kB signaling;Beta-catenin independent WNT signaling;FCERI mediated NF-kB activation;Cyclin A:Cdk2-associated events at S phase entry;Regulation of RUNX3 expression and activity;Regulation of ornithine decarboxylase (ODC);Diseases of signal transduction by growth factor receptors and second messengers;Autodegradation of the E3 ubiquitin ligase COP1;Regulation of mitotic cell cycle;Downstream TCR signaling;G1/S Transition;Negative regulation of NOTCH4 signaling;Transcriptional regulation by RUNX2;Metabolism;Cell Cycle;Cellular response to hypoxia;Signal Transduction"	"3"	"OLI117"
"89"	"ATP2B3; LAMA1"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI118"
"90"	"ANOS1; PROKR2"	"Involved in the same disease"	"N.A."	"Signal Transduction"	"2"	"OLI152; OLI205; OLI206; OLI498; OLI852; OLI119; OLI1016; OLI1320"
"91"	"PDZD7; USH2A"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Colocalization"	"N.A."	"N.A."	"3"	"OLI120; OLI121"
"92"	"ADGRV1; PDZD7"	"Directly interacting;Indirectly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Colocalization"	"N.A."	"N.A."	"3"	"OLI122; OLI254"
"93"	"ITGA7; MYH7B"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only"	"N.A."	"N.A."	"2"	"OLI123"
"94"	"BBS2; BBS4"	"Involved in the same disease;Affecting the same tissue;Directly interacting;Same pathway"	"(BBS2, BBS4)"	"Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI124; OLI125; OLI1229"
"95"	"COL17A1; LAMB3"	"Directly interacting;Same protein complex;Involved in the same disease;Relevant pathways for phenotype;Colocalization;Same pathway"	"N.A."	"Cell junction organization;Extracellular matrix organization;Assembly of collagen fibrils and other multimeric structures;Collagen formation;Degradation of the extracellular matrix;Cell-Cell communication;Type I hemidesmosome assembly"	"3"	"OLI126"
"96"	"PINK1; PRKN"	"Directly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway;Same organelle"	"(PINK1, PRKN)"	"Selective autophagy;PINK1-PRKN Mediated Mitophagy;Pathways of neurodegeneration - multiple diseases;Mitophagy;Amyotrophic lateral sclerosis;Macroautophagy;Autophagy"	"3"	"OLI128; OLI129; OLI127; OLI228; OLI229; OLI230"
"97"	"IL10RA; NOD2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Immune System;Cytokine Signaling in Immune system;Tuberculosis;Signaling by Interleukins"	"2"	"OLI130"
"98"	"CHD7; PAX4; PCSK1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI132"
"99"	"COL4A3; COL4A5"	"Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only;Similar function"	"N.A."	"Anchoring fibril formation;Integrin cell surface interactions;Non-integrin membrane-ECM interactions;Axon guidance;Focal adhesion;Assembly of collagen fibrils and other multimeric structures;Laminin interactions;Signaling by Receptor Tyrosine Kinases;Signaling by PDGF;ECM-receptor interaction;Extracellular matrix organization;AGE-RAGE signaling pathway in diabetic complications;Protein digestion and absorption;ECM proteoglycans;Amoebiasis;Developmental Biology;NCAM signaling for neurite out-growth;Nervous system development;Collagen chain trimerization;Degradation of the extracellular matrix;Pathways in cancer;Relaxin signaling pathway;NCAM1 interactions;Small cell lung cancer;Crosslinking of collagen fibrils;Collagen biosynthesis and modifying enzymes;Collagen formation;Human papillomavirus infection;PI3K-Akt signaling pathway;Signal Transduction"	"2"	"OLI133; OLI156; OLI516"
"100"	"COL6A1; COL6A3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Integrin cell surface interactions;Axon guidance;Assembly of collagen fibrils and other multimeric structures;Focal adhesion;Signaling by Receptor Tyrosine Kinases;Signaling by PDGF;ECM-receptor interaction;Protein digestion and absorption;ECM proteoglycans;Developmental Biology;NCAM signaling for neurite out-growth;Nervous system development;Collagen degradation;Collagen chain trimerization;Degradation of the extracellular matrix;NCAM1 interactions;Collagen biosynthesis and modifying enzymes;Collagen formation;Human papillomavirus infection;PI3K-Akt signaling pathway"	"2"	"OLI134"
"101"	"GJB2; GJB3"	"Indirectly interacting;Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Colocalization;Same pathway;Co-expression"	"N.A."	"Membrane Trafficking;Gap junction assembly;Gap junction trafficking and regulation;Vesicle-mediated transport"	"2"	"OLI135; OLI136; OLI192; OLI193; OLI194; OLI252; OLI406"
"102"	"GJB2; PAX3"	"Involved in the same disease"	"N.A."	"N.A."	"0"	"OLI137"
"103"	"CARD9; MYD88"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"NOD-like receptor signaling pathway;Immune System;Tuberculosis;Herpes simplex virus 1 infection;Innate Immune System"	"2"	"OLI138"
"104"	"BBS1; TTC8"	"Directly interacting;Same protein complex;Involved in the same disease;Relevant pathways for phenotype;Same pathway"	"(BBS1, TTC8)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI140"
"105"	"BBS1; BBS9"	"Directly interacting;Same protein complex;Involved in the same disease;Relevant pathways for phenotype;Same pathway"	"(BBS1, BBS9)"	"Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI141"
"106"	"BBS10; BBS2"	"Involved in the same disease;Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI144; OLI172; OLI176"
"107"	"ARL6; TTC8"	"Directly interacting;Involved in the same disease;Relevant pathways for phenotype;Same pathway;Monogenic experiments only"	"(ARL6, TTC8)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI145"
"108"	"BBS7; TTC8"	"Directly interacting;Same protein complex;Involved in the same disease;Relevant pathways for phenotype;Same pathway"	"(BBS7, TTC8)"	"Cilium Assembly;Cargo trafficking to the periciliary membrane;Organelle biogenesis and maintenance;BBSome-mediated cargo-targeting to cilium"	"2"	"OLI146"
"109"	"COL4A1; PKD2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI148"
"110"	"FOXH1; ZIC3"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI149"
"111"	"CFC1; NODAL"	"Involved in the same disease;Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Regulation of signaling by NODAL;Signaling by NODAL"	"2"	"OLI150"
"112"	"NKX2-5; ZIC3"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI151"
"113"	"LMBRD1; MTR"	"Involved in the same disease;Same pathway;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Metabolism of water-soluble vitamins and cofactors;Disease;vitamin B12) transport and metabolism;Metabolism;Defects in cobalamin (B12) metabolism;Defects in vitamin and cofactor metabolism;Metabolism of vitamins and cofactors;Cobalamin (Cbl"	"2"	"OLI153"
"114"	"P3H1; WNT1"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI158"
"115"	"EDA; WNT10A"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI159; OLI160; OLI161; OLI162; OLI163; OLI164"
"116"	"GNRHR; PROKR2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"GPCR ligand binding;GPCR downstream signalling;Signal Transduction;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;G alpha (q) signalling events"	"2"	"OLI165; OLI207; OLI1288"
"117"	"SLC3A1; SLC7A9"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"N.A."	"Disease;Defective SLC3A1 causes cystinuria (CSNU);SLC-mediated transmembrane transport;Transport of small molecules;Disorders of transmembrane transporters;SLC transporter disorders;Amino acid transport across the plasma membrane;Defective SLC7A9 causes cystinuria (CSNU)"	"3"	"OLI166; OLI178; OLI179; OLI180; OLI181"
"118"	"HFE; HMBS; UROD"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Metabolic pathways;Metabolism of porphyrins;Heme biosynthesis;Metabolism"	"2"	"OLI167"
"119"	"SCN1A; SCN2A"	"Involved in the same disease;Similar function;Same pathway;Same protein complex"	"N.A."	"Nervous system development;L1CAM interactions;Axon guidance;Interaction between L1 and Ankyrins;Developmental Biology;Cardiac conduction"	"2"	"OLI168"
"120"	"CYP1B1; MYOC"	"Involved in the same disease;Affecting the same tissue;Monogenic experiments only"	"N.A."	"N.A."	"1"	"OLI169; OLI460"
"121"	"BBS12; BBS2"	"Involved in the same disease;Monogenic experiments only;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;Organelle biogenesis and maintenance"	"2"	"OLI173; OLI174"
"122"	"AGXT2; SCAP"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"Metabolism"	"1"	"OLI182"
"123"	"SCN5A; TRPM4"	"Involved in the same disease;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI183"
"124"	"NKX2-1; RET"	"Indirectly interacting"	"N.A."	"N.A."	"2"	"OLI184"
"125"	"EYS; LRP5"	"Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI185"
"126"	"HAMP; HFE"	"Involved in the same disease;Relevant pathways for phenotype;Affecting the same tissue;Co-expression"	"N.A."	"N.A."	"2"	"OLI186; OLI187"
"127"	"MUTYH; OGG1"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"Base excision repair"	"2"	"OLI188"
"128"	"DES; LMNA"	"Affecting the same tissue;Indirectly interacting;Relevant pathways for phenotype"	"N.A."	"Hypertrophic cardiomyopathy;Dilated cardiomyopathy"	"2"	"OLI190"
"129"	"PCARE; RP1L1"	"Involved in the same disease;Affecting the same tissue;Same pathway;Relevant pathways for phenotype"	"N.A."	"N.A."	"3"	"OLI191"
"130"	"FGFR1; GNRHR"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"N.A."	"2"	"OLI195; OLI198; OLI199; OLI1273"
"131"	"FGF8; FGFR1"	"Directly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Co-expression"	"(FGF8, FGFR1)"	"Ras signaling pathway;Breast cancer;Melanoma;Calcium signaling pathway;Regulation of actin cytoskeleton;Pathways in cancer;Rap1 signaling pathway;PI3K-Akt signaling pathway"	"3"	"OLI197; OLI397; OLI409; OLI410; OLI779"
"132"	"TRIM54; TRIM63"	"Directly interacting;Affecting the same tissue;Relevant pathways for phenotype;Colocalization;Same pathway;Similar function"	"(TRIM54, TRIM63)"	"N.A."	"3"	"OLI200"
"133"	"GNRHR; PROK2"	"Involved in the same disease;Same pathway;Relevant pathways for phenotype"	"N.A."	"GPCR downstream signalling;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;Signal Transduction;GPCR ligand binding"	"1"	"OLI201"
"134"	"KCNQ1; SCN5A"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Monogenic experiments only"	"N.A."	"Muscle contraction;Cardiac conduction;Adrenergic signaling in cardiomyocytes"	"2"	"OLI202; OLI445"
"135"	"HNF1A; HNF4A"	"Involved in the same disease;Similar function;Same pathway;Relevant pathways for phenotype"	"N.A."	"Maturity onset diabetes of the young"	"2"	"OLI203"
"136"	"KISS1R; PROKR2"	"Relevant pathways for phenotype;Involved in the same disease"	"N.A."	"GPCR ligand binding;GPCR downstream signalling;Signal Transduction;Peptide ligand-binding receptors;Class A/1 (Rhodopsin-like receptors);Signaling by GPCR;G alpha (q) signalling events"	"1"	"OLI208; OLI895; OLI1281"
"137"	"PARK7; PINK1"	"Involved in the same disease;Directly interacting;Same pathway;Relevant pathways for phenotype"	"(PARK7, PINK1)"	"Macroautophagy;Pathways of neurodegeneration - multiple diseases;Selective autophagy;Autophagy"	"3"	"OLI209"
"138"	"NPHP1; NPHP3"	"Directly interacting;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway"	"(NPHP1, NPHP3)"	"Cilium Assembly;Organelle biogenesis and maintenance"	"2"	"OLI211"
"139"	"NPHP3; NPHP4"	"Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Monogenic experiments only;Same pathway"	"N.A."	"Cilium Assembly;Organelle biogenesis and maintenance"	"2"	"OLI212; OLI213"
"140"	"INVS; NPHP3"	"Involved in the same disease;Affecting the same tissue;Monogenic experiments only;Relevant pathways for phenotype"	"N.A."	"N.A."	"2"	"OLI214"
"141"	"CC2D2A; NPHP3"	"Involved in the same disease;Same organelle;Same pathway;Relevant pathways for phenotype"	"N.A."	"Cilium Assembly;Organelle biogenesis and maintenance"	"2"	"OLI215"
"142"	"CC2D2A; PKHD1"	"Same organelle;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI216"
"143"	"KCNE2; KCNH2"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype;Same pathway;Similar function"	"(KCNE2, KCNH2)"	"Phase 3 - rapid repolarisation;Cardiac conduction"	"2"	"OLI218"
"144"	"IFNAR1; IFNGR2"	"Directly interacting;Same protein complex;Relevant pathways for phenotype;Same pathway;Similar function"	"N.A."	"Necroptosis;Infectious disease;Potential therapeutics for SARS;Natural killer cell mediated cytotoxicity;Osteoclast differentiation;SARS-CoV Infections;Disease;Immune System;Cytokine-cytokine receptor interaction;Influenza A;JAK-STAT signaling pathway;Interferon Signaling;Cytokine Signaling in Immune system;Herpes simplex virus 1 infection"	"3"	"OLI219"
"145"	"CPT2; RANBP2"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"Metabolism"	"1"	"OLI221"
"146"	"PRPH2; ROM1"	"Directly interacting;Same protein complex;Involved in the same disease;Affecting the same tissue;Relevant pathways for phenotype"	"(PRPH2, ROM1)"	"N.A."	"2"	"OLI222; OLI223"
"147"	"MAN1B1; SEC23A"	"Same pathway;Relevant pathways for phenotype"	"N.A."	"Protein processing in endoplasmic reticulum;Asparagine N-linked glycosylation;Post-translational protein modification;Metabolism of proteins"	"2"	"OLI227"
"148"	"LAMA4; PKP2; TTN"	"Involved in the same disease;Relevant pathways for phenotype"	"N.A."	"N.A."	"1"	"OLI231"
